,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(cc),Power(bhp),Seats,Price(lakhs),Brand
1263,Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12,1373.0,91.1,5.0,9.2,Maruti
1264,Grand i10 AT Asta,Mumbai,2015,29631,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,4.9,Hyundai
1265,City 1.3 DX,Delhi,2009,55005,Petrol,Manual,First,12.8,1497.0,98.6,5.0,3.2,Honda
1266,EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,54173,Petrol,Manual,First,18.88,999.0,123.24,5.0,5.55,Ford
1267,Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,50000,Petrol,Automatic,First,14.7,1798.0,177.6,5.0,13.5,Skoda
1268,Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.4,1248.0,91.7,5.0,2.6,Fiat
1269,Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,4.5,Maruti
1270,Rover Discovery 4 TDV6 SE,Delhi,2013,65000,Diesel,Automatic,Second,11.8,2993.0,180.0,7.0,34.0,Land-Rover
1271,Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.0,Toyota
1272,Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.25,Maruti
1273,A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.56,Audi
1274,5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,24.68,BMW
1275,i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.5,1197.0,82.9,5.0,3.67,Hyundai
1276,X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,29.5,BMW
1277,Etios G,Delhi,2012,60000,Petrol,Manual,First,17.6,1496.0,88.73,5.0,3.1,Toyota
1278,Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.9,Tata
1279,M-Class ML 350 4Matic,Bangalore,2014,33000,Diesel,Automatic,Second,17.9,2987.0,165.0,5.0,43.0,Mercedes-Benz
1280,Beetle 2.0,Mumbai,2009,27078,Petrol,Automatic,First,10.98,1984.0,114.4,4.0,15.95,Volkswagen
1281,Polo GT TDI,Hyderabad,2011,57275,Diesel,Manual,First,19.7,1598.0,103.6,5.0,4.5,Volkswagen
1282,Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.49,Hyundai
1283,Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.25,Maruti
1284,Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5.0,1.9,Hyundai
1285,5 Series 2003-2012 525d,Mumbai,2011,89000,Diesel,Automatic,First,16.73,1995.0,218.0,5.0,16.57,BMW
1286,City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.75,Honda
1287,A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,14.0,Audi
1288,Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5.0,2.5,Fiat
1289,City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,1.2,Honda
1290,3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,13.95,BMW
1291,Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.6,1388.0,68.0,5.0,1.6,Ford
1292,Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.6,Tata
1293,Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,20000,CNG,Manual,First,15.1,1196.0,73.0,5.0,4.5,Maruti
1294,Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.06,Maruti
1295,Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,5.29,Maruti
1296,Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.75,Ford
1297,Swift 1.3 ZXI,Hyderabad,2015,50295,Petrol,Manual,First,16.1,1248.0,74.0,5.0,5.8,Maruti
1298,Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.72,Maruti
1299,i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,4.39,Hyundai
1300,XUV500 W6 2WD,Coimbatore,2016,62946,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.05,Mahindra
1301,i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,4.83,Hyundai
1302,Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54,998.0,67.04,5.0,2.96,Maruti
1303,i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.27,1396.0,88.76,5.0,4.5,Hyundai
1304,7 Series 730Ld,Mumbai,2011,55000,Diesel,Automatic,Second,16.46,2993.0,258.0,5.0,19.5,BMW
1305,Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.75,Skoda
1306,Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,67.0,Audi
1307,City i VTEC VX,Kochi,2016,54317,Petrol,Manual,First,17.4,1497.0,117.3,5.0,8.4,Honda
1308,Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.99,Hyundai
1309,City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.18,Honda
1310,Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.4,1198.0,86.8,5.0,2.9,Honda
1311,Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.1,Maruti
1312,Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.05,Maruti
1313,CR-V 2.4L 4WD AT,Pune,2015,63050,Petrol,Automatic,First,11.1,2354.0,158.8,5.0,17.5,Honda
1314,Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,Petrol,Automatic,Second,14.53,1794.0,138.1,5.0,3.41,Toyota
1315,City 1.5 V MT,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.68,Honda
1316,Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.05,2179.0,120.0,9.0,4.1,Mahindra
1317,Laura 1.8 TSI Ambiente,Delhi,2011,87670,Petrol,Manual,First,13.4,1798.0,157.8,5.0,4.0,Skoda
1318,3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,30.0,BMW
1319,SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0,1586.0,104.68,5.0,1.8,Maruti
1320,Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.93,Maruti
1321,Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,70.0,Land-Rover
1322,Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,7.9,Toyota
1323,Santro Xing GL,Kochi,2011,20842,Petrol,Manual,First,18.9,1086.0,62.0,5.0,2.78,Hyundai
1324,Santa Fe 4WD AT,Chennai,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,14.4,Hyundai
1325,New C-Class C250 Avantgarde,Mumbai,2011,45000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,13.5,Mercedes-Benz
1326,Wagon R LXI CNG,Mumbai,2014,40000,CNG,Manual,Second,26.6,998.0,58.16,5.0,3.15,Maruti
1327,Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.88,Maruti
1328,Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.15,Maruti
1329,Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.95,1498.0,97.7,5.0,3.75,Nissan
1330,Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.6,Maruti
1331,Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6,Maruti
1332,Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55,Hyundai
1333,Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,4.7,Honda
1334,Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.8,1248.0,90.0,5.0,1.6,Tata
1335,Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.34,Chevrolet
1336,City i VTEC CVT VX,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.1,Honda
1337,Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17,Hyundai
1338,Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5,Hyundai
1339,Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.44,1198.0,75.0,5.0,3.0,Nissan
1340,Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.75,Hyundai
1341,Creta 1.6 VTVT E Plus,Bangalore,2017,26246,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10.75,Hyundai
1342,Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51,998.0,67.04,5.0,2.85,Maruti
1343,Accord 2.4 Elegance A/T,Chennai,2008,90000,Petrol,Automatic,First,10.2,2354.0,180.0,5.0,6.5,Honda
1344,City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,9.45,Honda
1345,Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75,Maruti
1346,City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75,Honda
1347,i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4,Hyundai
1348,E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0,Mercedes-Benz
1349,Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67,Nissan
1350,Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5,Renault
1351,Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69,Maruti
1352,Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8,Hyundai
1353,Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2,Maruti
1354,City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,17.0,1497.0,98.6,5.0,1.5,Honda
1355,5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86,BMW
1356,Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1,Volkswagen
1357,Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4,Ford
1358,3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0,BMW
1359,Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28,Hyundai
1360,Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67,Renault
1361,Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2,Hyundai
1362,X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49,BMW
1363,Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0,Maruti
1364,i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25,Hyundai
1365,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78,BMW
1366,City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45,Honda
1367,Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5,Mahindra
1368,Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48,Ford
1369,Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1,Maruti
1370,Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55,Volkswagen
1371,Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen
1372,Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59,Volkswagen
1373,Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45,Maruti
1374,EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0,Ford
1375,Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49,Toyota
1376,5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5,BMW
1377,Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,Maruti
1378,Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88,999.0,123.24,5.0,7.85,Ford
1379,Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,6.0,Hyundai
1380,Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0,Tata
1381,A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967.0,241.4,5.0,28.75,Audi
1382,Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,Tata
1383,Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.5,Maruti
1384,Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1.59,Fiat
1385,i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.22,Hyundai
1386,EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75,Hyundai
1387,GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,25.0,Mercedes-Benz
1388,Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.8,Maruti
1389,Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,2.45,Chevrolet
1390,Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.35,Honda
1391,3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,8.0,BMW
1392,Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.25,Renault
1393,Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,5.95,Ford
1394,Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92,Toyota
1395,Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.15,Chevrolet
1396,Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,5.75,Volkswagen
1397,Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,32.44,Ford
1398,Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582.0,126.32,5.0,8.01,Hyundai
1399,Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.48,Ford
1400,800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.75,Maruti
1401,City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.0,Honda
1402,XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.75,Mahindra
1403,Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford
1404,EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,9.2,Ford
1405,i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.05,Hyundai
1406,Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,9.6,Toyota
1407,Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.5,Renault
1408,Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.35,Toyota
1409,City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.6,Honda
1410,Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.5,Maruti
1411,Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49,1198.0,67.04,5.0,4.26,Nissan
1412,Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,4.25,Maruti
1413,New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796.0,178.0,5.0,11.75,Mercedes-Benz
1414,Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5,1498.0,88.7,5.0,3.5,Ford
1415,Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.5,Hyundai
1416,i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396.0,100.0,5.0,3.25,Hyundai
1417,Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.9,Maruti
1418,New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,27.0,Mercedes-Benz
1419,Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.91,Hyundai
1420,Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,6.69,Hyundai
1421,Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3,1998.0,163.7,5.0,6.02,Chevrolet
1422,Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,4.5,Toyota
1423,A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,Maruti
1424,Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.4,Nissan
1425,Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.2,Tata
1426,Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2.9,Maruti
1427,Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,12.7,2179.0,187.7,5.0,40.88,Land-Rover
1428,Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,27.0,Audi
1429,Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.8,1498.0,98.6,5.0,7.5,Honda
1430,Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599.0,104.0,5.0,1.5,Chevrolet
1431,Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,39.5,Audi
1432,Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.39,Maruti
1433,Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.4,Mahindra
1434,Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.85,Maruti
1435,Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.43,1364.0,138.0,5.0,5.75,Toyota
1436,Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396.0,69.0,5.0,2.0,Tata
1437,800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9,Maruti
1438,Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.8,Volkswagen
1439,Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,16.35,Hyundai
1440,Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,16.5,Toyota
1441,Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.7,Maruti
1442,Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.1,Maruti
1443,Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,21.94,Mini
1444,S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,22.0,Mercedes-Benz
1445,Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.65,Maruti
1446,Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.27,Maruti
1447,Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248.0,74.0,5.0,2.48,Chevrolet
1448,Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,6.0,Toyota
1449,Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.9,Toyota
1450,3 Series 320d Sport Line,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995.0,184.0,5.0,18.0,BMW
1451,Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395.0,138.02,5.0,11.64,Skoda
1452,Fortuner 3.0 Diesel,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.99,Toyota
1453,Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,5.25,Volkswagen
1454,i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,2.95,Hyundai
1455,Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248.0,88.76,5.0,2.65,Tata
1456,Vento Petrol Highline,Pune,2013,57197,Petrol,Manual,First,15.04,1598.0,103.6,5.0,4.0,Volkswagen
1457,Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5.0,12.5,Hyundai
1458,Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197.0,85.8,5.0,3.25,Maruti
1459,CR-V 2.0L 2WD MT,Delhi,2008,70000,Petrol,Manual,First,13.1,1997.0,141.1,5.0,4.0,Honda
1460,XUV500 W8 2WD,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,6.25,Mahindra
1461,Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498.0,108.62,5.0,5.8,Volkswagen
1462,Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5.0,Tata
1463,XJ 3.0L Portfolio LWB,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993.0,270.88,5.0,58.73,Jaguar
1464,Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,17.49,Toyota
1465,A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0,998.0,66.1,5.0,1.95,Maruti
1466,Accord VTi-L (AT),Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,3.0,Honda
1467,i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17.0,1197.0,80.0,5.0,5.5,Hyundai
1468,Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5,Toyota
1469,New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,14.5,Mercedes-Benz
1470,Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.79,Maruti
1471,Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8.27,Maruti
